name,talent,opts
18 Colors Jumbo Sidewalk Chalk Set (144 pc),405,
3 in 1 Giant Checkers Set,190,
5 in 1 Bedside Lamp with Bluetooth Speaker,555,
Alarm Clock Night Light Bluetooth Speaker,540,
Apple Airpods,1000,
Astroshot Zero G Nerf Targets,480,
Aurora Night Light Blootooth Speaker,525,"White, Black"
Bean Bag Chair (98 in),570,"Black, Green, Purple"
Beyblade Burst Evolution Elite Warrior (4 pc),450,
Beyblade Burst Turbo Slingshock Cross Collision Battle Set,615,
Blokus,375,
BrainBolt - Brain Teaser Memory Game,160,
Carcassonne Board Game,450,
Clue Board Game,200,
Crayola Colored Pencils (50 pc),130,
Crayola Light Up Tracing Pad,375,
Crayola Washable Gel Pens (6 pc),60,
Crayola Washable Markers (40 pc),180,
Creativity for Kids Grow 'n Glow Terrarium,130,
Creativity for Kids Magical Mixing DIY Sensory Science Kit,130,
Cute Multipurpose Canvas Zipper Pouch (6 pc),160,
"Cute Print Black Cotton Mask Set (Black, 8pc)",50,
DC Comics Pop Heroes Collage Jigsaw Puzzle (1000 pc),190,
Dude Perfect Signature Bow Nerf Sports,900,
ELEGOO UNO R3 Project Smart Robot Car Kit,1000,
Faber-Castell Blendable Oil Pastels (24 pc),90,
Faber-Castell Metallic Glitter Highlighters (4 pc),120,
Feather Teaser Cat Toy,110,
Flexible Phone Tripod,150,
Folding Laptop Desk,240,
Fujifilm instaX Mini 9 Instant Camera + Film (20 Pcs),1000,
Hair Accessories Kit Arts and Crafts,200,
Hand Operated Flying Drone,150,
Hestya Colorful Wooden Domino Set (480 pc),375,
Hot Wheels Basic Car (50 pc),825,
Hover Soccer Ball,150,
Ipienlee Small Diary Pocket Notebook (6 pc),160,
JEVERGN Wooden 4 in a Row Game,160,
KAKAO FRIENDS 4 Sticky Memo Pad,80,"Ryan, Neo"
LEGO Architecture Eiffel Tower (649 pc),750,
LEGO City Fire Station (509 pc),840,
LEGO Classic Green Baseplate,50,
LEGO Classic Medium Brick Box (484 pc),405,
LEGO Friends Olivia's Cupcake Cafe (335 pc),375,
LEGO Harry Potter Hagrid's Hut (496 pc),720,
LEGO Marvel Avengers (699 pc),1000,
LEGO Minecraft Zombie Cave (241 pc),170,
LEGO Speed Champions Ferrari F8 (275 pc),200,
"LEGO Star Wars Starship Model (1,351 pc)",1500,
Light-up Terrarium Kit,375,
Magna Tiles (100 Pcs),1620,
Merge VR Headset,750,
Mini Drone RC Helicopter,495,
My First & Last Day of School Wooden Chalk Board (2-sided),130,
My First Princess Make Up Kit (12 pc),140,
National Geographic Earth Science Kit,450,
National Geographic Morphing Matter Pack,420,
Nintendo Switch Lite,1500,"Coral, Grey, Turquoise, Yellow"
Pastel Spiral Hair Ties (30 pc),130,
Pieviev Premium Cat Scratcher,100,
Play-Doh Multicolor Pack (24 pc),315,
Playz My First Coding & Computer Science Kit,525,
Playz Volcanic Eruption & Lava Lab Science Experiments Kit,450,
Ring Toss Deluxe,375,
Rush Hour Traffic Jam Logic Game,200,
Scooter,1000,"Blue, Camouflage, Graffiti, Pink, Red, White"
SCStyle 30 Lovely Writing Stationery Papers + 15 Envelopes,90,
SCStyle 32 Cute Writing Stationery Papers + 16 Envelopes,90,
Shut The Box Dice Game (2-4 Players),375,
SmartLab Toys Spa Lab Bath Bombs,345,
SmartLab Toys Squishy Human Body,180,
SmartyKat Catnip Cat Toys,20,
Snap Circuits Electronics Exploration Kit,465,
Sofa Sack Bean Bag Chair,1000,
Spa Luxetique Hand Lotion Set,100,
Spiral Hair Ties (20 pc),120,
Touch Screen Stylus,200,
Toy Story 4  Jigsaw Puzzle (100 pc),160,
Unicorn Bath Bomb Gift Set,150,
Uno Card Game,100,
VIAHART Swimming Kickboard,100,
VSCO Teen Accessories Kit in a Cosmetic Bag,200,
Washable Facial Mask (6 pc),110,
Washable Reusable 2 Layers Face Masks (3 pc),375,
Wireless Bluetooth Karaoke Microphone,510,"Rose Gold, Black, Gold, Silver, Space Grey"
Wooden Puzzles for Ozobot,750,
